Comment_No,Username,Time_Ago,Weeks_Ago,Comment_Text,Reply_To,Is_Creator_Reply,Category,Contains_Question,Has_Emoji,Language,Comment_Length
163,maryaim_arif,40 w,40,NI apnai hi bnaa prega sister 😢,@sozal_foods,No,Humour / Friendly Banter,No,Yes,Mixed/Urdu,31
164,memon_sahaaabb,40 w,40,I'm that one dost Jo khilati h😭,@sozal_foods,No,Humour / Friendly Banter,No,Yes,English,31
165,sozal_foods,40 w,40,hamara bhi wqt aiga🫶☝🏻,@gang_ster_lady,Yes,Creator Reply,No,Yes,English,22
166,memon_sahaaabb,40 w,40,aahi na jae😂 hum woh h jnka misal dya jata h Tum jtni lrkiya ghr smbhal k bethi h😭😂 (Meri almost friends cooking n baking nh krti😭),@sozal_foods,No,Humour / Friendly Banter,No,Yes,Mixed/Urdu,131
167,malikkhan9350,40 w,40,Pan size plz and which brand cocopowder and chocolate used,,No,Recipe/Ingredient Question,No,No,English,58
168,_hudashariq_,40 w,40,Craving for some more of them😍😍🥹🥹,,No,Positive / Appreciation,No,Yes,English,33
169,_femura,40 w,40,😍😍,,No,Positive / Appreciation,No,Yes,English,2
170,sozal_foods,40 w,40,😋🫶,@thecake_bar,Yes,Creator Reply,No,Yes,English,2
171,jaysspicesecrets,40 w,40,Too good❤️,,No,Positive / Appreciation,No,Yes,English,10
172,sozal_foods,40 w,40,thank youuu🥹🫶,@jaysspicesecrets,Yes,Creator Reply,No,Yes,English,13
173,maryaim_arif,40 w,40,😍 satisfied mashallah,,No,Positive / Appreciation,No,Yes,English,21
174,sozal_foods,40 w,40,hehe thank youuuu😌🫶,@mrs.arif01,Yes,Creator Reply,No,Yes,English,19
175,farihasan_,40 w,40,Written recipe,,No,Recipe/Ingredient Question,No,No,English,14
176,cakesnflakes_official,7 w,7,6 eggs browniesplz resipesend,,No,Recipe/Ingredient Question,No,No,English,29
177,baketalesby_sahr,8 w,8,🤤 So yummy,,No,Positive / Appreciation,No,Yes,English,10
178,definitelysable,14 w,14,THREE FIFTY GRAM OF CHOCOLATE OMG,,No,Recipe/Ingredient Question,No,No,English,33
179,ashiu._.18,15 w,15,"Bhen main ny itna oil use keya na Brownie bany na bany main ghar sy byghar zaroor ho jaun ge 😂😂😂😂😂😂(I am not ghareeb, but my amma is typical asian)😂",,No,Recipe/Ingredient Question,No,Yes,Mixed/Urdu,148
180,frostelladelights,16 w,16,😍,,No,Positive / Appreciation,No,Yes,English,1
181,spaghettialferedo,20 w,20,Sorry but it's more like a cake 😭😭🙏,,No,Criticism / Negative,No,Yes,English,35
182,straw3rry._vnilla_,20 w,20,What about on stove?,,No,Recipe/Ingredient Question,Yes,No,English,20
183,ayesha123458by91,20 w,20,❤️😍,,No,Positive / Appreciation,No,Yes,English,3
184,fatima__iqbal29,20 w,20,Wettt ingredientsssss 🙂👌,,No,Recipe/Ingredient Question,No,Yes,English,24
185,sheis.laiba,21 w,21,Ewwww oil🤢,,No,Recipe/Ingredient Question,No,Yes,English,10
186,im.sidraaa,21 w,21,Without baking soda n baking powder?,,No,Recipe/Ingredient Question,Yes,No,Mixed/Urdu,36
187,salma._makwana,21 w,21,Full recipe,,No,Recipe/Ingredient Question,No,No,English,11
188,meerab._farhann,21 w,21,i tried and turned out very good,,No,Positive / Appreciation,No,No,English,32
189,chaoticsss.__1,21 w,21,Heart attack calling 📞 😂,,No,Criticism / Negative,No,Yes,English,24
190,theshakulaa,22 w,22,Pan size,,No,Recipe/Ingredient Question,No,No,English,8
191,ishaa.aaal,22 w,22,Don't use oil and use butter as an alternative for it cause it's the better option and don't use the beater right after you put the flour in and instead use the fold method with a spatula it makes the mix more thick,,No,Recipe/Ingredient Question,No,No,English,215
192,mehermah_gul,23 w,23,Measurements In cups please??,,No,Recipe/Ingredient Question,Yes,No,English,29
193,attiikkaaa_,23 w,23,Use butter instead of oil,,No,Recipe/Ingredient Question,No,No,English,25
194,sirikalpacreations,23 w,23,Recipe,,No,Recipe/Ingredient Question,No,No,English,6
195,noush_privv__,23 w,23,What we can add instead of eggs?,,No,Recipe/Ingredient Question,Yes,No,English,32
